ID,y_true,catboost_pred,tempcnn_pred,WorldCover_Code,WorldCover_Class
ID_N65Y886DLWCZ,1,1,1,40,Cropland
ID_QXJ651XJ9T8Z,0,0,0,40,Cropland
ID_FJCLACYTAH6V,0,0,0,40,Cropland
ID_7286CFL12KEZ,1,1,1,40,Cropland
ID_1V5DA41TQHO7,1,1,1,40,Cropland
ID_Z63FH1TNJUE3,1,1,1,40,Cropland
ID_FQ5W4KKOMMR6,1,1,1,40,Cropland
ID_OQA0EE8W0968,0,0,0,40,Cropland
ID_GU5UYOX9U3QC,0,0,0,40,Cropland
ID_MEFR71VSELJ1,1,1,1,40,Cropland
ID_09C8H2C2X5G4,0,0,0,40,Cropland
ID_C0649VM5M470,0,0,0,40,Cropland
ID_WM817OXLJ2US,0,0,0,30,Grassland
ID_69KCU4K9W6Q3,0,0,0,30,Grassland
ID_D0298HX6VZQO,0,0,0,40,Cropland
ID_Q31SWRW623Y8,1,1,1,40,Cropland
ID_O2KBC7HPNOAQ,0,0,0,30,Grassland
